point_id,case,mach,cd_fore_last_window,cd_fore_previous_window,rel_difference
dp056,dp056_coarse_a0,3.0,1.2763257896605962,1.2761866748844555,0.00010899629018520166
dp057,dp057_coarse_a0,20.0,1.3639843827199192,1.3645225481450138,0.00039455394937990874
dp058,dp058_coarse_a0,3.0,1.2714576714545707,1.2713668100488829,7.1462391338492e-05
dp059,dp059_coarse_c0,20.0,1.3634793742899567,1.3635222278306338,3.1429548172989335e-05
dp060,dp060_coarse_a0,3.0,1.2700565074420356,1.2701927995486724,0.00010731184466059127
dp064,dp064_coarse_a0,27.0,1.552529414146131,1.5507577728170974,0.0011411322148817396
dp065,dp065_coarse_a0,27.0,1.376139026389404,1.3767366185961318,0.0004342527864323044
dp066,dp066_coarse_a0,27.0,1.5477986522444593,1.547592935232185,0.00013290941426775477
dp069,dp069_coarse_c0,27.0,1.3647158704722409,1.3646552435576251,4.4424569192373695e-05
dp070,dp070_coarse_a0,27.0,0.8899916940482681,0.8904673245081951,0.0005344212346112638
dp071,dp071_coarse_a0,27.0,0.8818268446088758,0.8819348834461366,0.00012251706547747147
dp072,dp072_coarse_a0,27.0,0.8810002987149755,0.88106050807392,6.83420414638726e-05
dp073,dp073_coarse_a0,27.0,1.3650539062877975,1.3654913939964899,0.00032049115912357576
dp074,dp074_coarse_c0,27.0,1.36450592775588,1.364358490956168,0.00010805141752264534
sc1p2,sc1p2_coarse_a0,6.0,0.8869043454805664,0.8869178897712934,1.527142221818246e-05
sc3,sc3_coarse_a0,6.0,0.8869043264583043,0.8869180824657912,1.5510136862008636e-05
